select_model_id,select_regDate,select_mile,select_partition_month,city,car_id
1147417,2018/7/9,3.6068,2019/11/22,陕西,45576
1147417,2018/7/9,4.2353,2019/11/22,陕西,45579
1147417,2018/9/17,3.5667,2019/11/22,陕西,45585
1147417,2018/9/17,3.953,2019/11/22,陕西,45587
1147417,2018/7/9,3.8515,2019/11/22,河南,45588
1147417,2018/7/9,3.879,2019/11/22,陕西,45589
1147417,2018/9/17,3.4079,2019/11/22,陕西,45593
1147417,2018/9/17,3.3451,2019/11/22,河南,45596
1147417,2018/7/9,4.0989,2019/11/22,河南,45604
1147417,2018/9/17,4.0093,2019/11/22,陕西,45605
1147417,2018/7/27,4.7893,2019/11/22,陕西,45610
1147417,2018/7/9,4.8519,2019/11/22,陕西,45611
1147417,2018/7/9,4.941,2019/11/22,陕西,45612
1147417,2018/7/9,4.1741,2019/11/22,陕西,45613
1147417,2018/7/9,4.2581,2019/11/22,陕西,45614
1147417,2018/7/9,3.8997,2019/11/22,河南,45615
1147417,2018/7/9,5.378,2019/11/22,陕西,45616
1147417,2018/9/17,4.0696,2019/11/22,陕西,45623
1147417,2018/7/9,4.3149,2019/11/22,陕西,45627
1147417,2018/7/9,5.04,2019/11/22,陕西,45628
1147417,2018/9/17,3.6122,2019/11/22,陕西,45638
1147417,2018/9/17,3.6054,2019/11/22,陕西,45641
1147417,2018/9/17,2.9077,2019/11/22,陕西,45642
1147417,2018/9/1,3.3173,2019/11/22,陕西,45643
1147417,2018/9/17,4.6507,2019/11/22,陕西,45646
1147417,2018/9/17,3.4806,2019/11/22,陕西,45649
1147417,2018/7/9,5.3432,2019/11/22,河南,45650
1147417,2018/9/17,3.2883,2019/11/22,河南,45652
1147417,2018/9/17,3.9997,2019/11/22,陕西,45655
1147417,2018/7/9,3.4969,2019/11/22,河南,45656
1147417,2018/9/17,3.2712,2019/11/22,陕西,45658
1147417,2018/7/9,3.2684,2019/11/22,河南,45663
1147417,2018/7/9,3.6931,2019/11/22,河南,45664
1147417,2018/7/9,3.9453,2019/11/22,陕西,45668
1147417,2018/7/9,4.9491,2019/11/22,陕西,45671
1147417,2018/7/9,4.6311,2019/11/22,陕西,45672
1147417,2018/7/9,5.1472,2019/11/22,陕西,45673
1147417,2018/9/17,3.9291,2019/11/22,陕西,45674
1147417,2018/7/9,5.0121,2019/11/22,陕西,45675
1147417,2018/7/9,4.743,2019/11/22,陕西,45676
1147417,2018/7/9,4.6644,2019/11/22,湖北,45677
1147417,2018/7/9,4.3963,2019/11/22,陕西,45680
1147417,2018/7/9,4.6712,2019/11/22,陕西,45682
1147417,2018/7/9,5.1644,2019/11/22,陕西,45683
1147417,2018/9/17,4.2372,2019/11/22,陕西,45686
1147417,2018/7/9,4.6248,2019/11/22,陕西,45690
1147417,2018/7/9,4.4593,2019/11/22,北京,45691
1147417,2018/7/9,4.6918,2019/11/22,陕西,45692
1147417,2018/7/9,5.7327,2019/11/22,陕西,45694
1147417,2018/7/9,4.0215,2019/11/22,陕西,45695
1147417,2018/7/9,4.6769,2019/11/22,陕西,45700
1147417,2018/7/9,3.4968,2019/11/22,陕西,45702
1147417,2018/7/9,4.9608,2019/11/22,陕西,45703
1147417,2018/9/17,4.871,2019/11/22,陕西,45707
1147417,2018/9/17,3.3263,2019/11/22,陕西,45708
1147417,2018/9/17,4.0451,2019/11/22,陕西,45709
1147417,2018/9/17,3.2141,2019/11/22,陕西,45712
1147417,2018/6/28,5.7087,2019/11/22,新疆,45716
1147417,2018/9/20,5.1987,2019/11/22,宁夏,45718
1147417,2018/6/27,7.218,2019/11/22,河南,45722
1147417,2018/6/27,4.275,2019/11/22,新疆,45724
1147417,2018/6/27,5.4807,2019/11/22,新疆,45726
1147417,2018/6/27,4.5637,2019/11/22,河南,45728
1147417,2018/6/27,5.2355,2019/11/22,甘肃,45729
1147417,2018/6/25,4.4936,2019/11/22,青海,45735
1147417,2018/6/25,3.6002,2019/11/22,青海,45737
1147417,2018/9/20,3.3106,2019/11/22,陕西,45741
1147417,2018/9/19,2.3048,2019/11/22,青海,45744
1147417,2018/9/19,2.4474,2019/11/22,陕西,45745
1147417,2018/9/20,3.843,2019/11/22,青海,45757
1147417,2018/6/28,5.6418,2019/11/22,宁夏,45769
1147417,2018/6/28,5.3702,2019/11/22,河南,45774
1147417,2018/9/17,3.9699,2019/11/22,河南,45782
1147417,2018/9/19,3.3324,2019/11/22,青海,45785
1147417,2018/9/17,3.7661,2019/11/22,青海,45790
1147417,2018/6/27,4.2593,2019/11/22,甘肃,45791
1147417,2018/9/19,2.3026,2019/11/22,陕西,45796
1147417,2018/9/20,4.6122,2019/11/22,青海,45797
1147417,2018/6/28,6.7619,2019/11/22,宁夏,45805
1147417,2018/6/27,5.1713,2019/11/22,宁夏,45808
1147417,2018/6/25,5.3836,2019/11/22,陕西,45809
1147417,2018/9/19,2.53,2019/11/22,青海,45812
1147417,2018/9/20,3.0072,2019/11/22,河南,45814
1147417,2018/6/25,6.0166,2019/11/22,青海,45826
1147417,2018/9/17,3.1011,2019/11/22,宁夏,45829
1147417,2018/6/25,7.2201,2019/11/22,新疆,45844
1147417,2018/9/17,3.8996,2019/11/22,青海,45850
1147417,2018/6/25,6.5491,2019/11/22,宁夏,45870
1147417,2018/6/27,3.8343,2019/11/22,宁夏,45878
1147417,2018/9/20,2.995,2019/11/22,青海,45880
1147417,2018/9/18,3.2802,2019/11/22,青海,45884
1147417,2018/9/19,4.2075,2019/11/22,新疆,45886
1147417,2018/9/17,3.774,2019/11/22,河南,45887
1147417,2018/9/17,3.5178,2019/11/22,青海,45896
1147417,2018/9/17,3.4602,2019/11/22,青海,45904
1147417,2018/9/20,3.4732,2019/11/22,青海,45909
1147417,2018/9/18,5.619,2019/11/22,青海,45915
1147417,2018/9/17,2.9158,2019/11/22,河南,45922
1147417,2018/9/20,3.5154,2019/11/22,河南,45925
1147417,2018/9/20,3.2754,2019/11/22,河南,45926
1147417,2018/6/25,5.2215,2019/11/22,新疆,45937
1147417,2018/9/19,3.0843,2019/11/22,宁夏,45938
1147417,2018/9/20,4.1332,2019/11/22,河南,45951
1147417,2018/6/28,6.0584,2019/11/22,宁夏,45954
1147417,2018/6/27,6.9456,2019/11/22,宁夏,45958
1147417,2018/6/27,5.9244,2019/11/22,新疆,45959
